name,price,reference_price,reference_unit,supermarket,url,category,insert_date,product_id
Salmorejo La Huerta Don Simón 1 l.,3.1,3.1,l,carrefour-es,https://www.carrefour.es/supermercado/salmorejo-la-huerta-don-simon-1-l-don-simon/R-prod281253/p,la_despensa_conservas_sopas_y_precocinados_gazpacho_y_salmorejo,2021-04-06 00:00:00,0ea45a4272fe70b173796c5b16dbc917
Gazpacho ecológico La Huerta Don Simón 1 l.,3.5,3.5,l,carrefour-es,https://www.carrefour.es/supermercado/gazpacho-ecologico-la-huerta-don-simon-1-l-don-simon/R-prod1030341/p,la_despensa_conservas_sopas_y_precocinados_gazpacho_y_salmorejo,2021-04-06 00:00:00,78bca7db6c6e9aa053fe315ec5683f74
Berberechos al natural Carrefour sin lactosa 90 g.,1.86,20.67,kg,carrefour-es,https://www.carrefour.es/supermercado/berberechos-al-natural-carrefour-sin-lactosa-90-g-carrefour/R-525603503/p,la_despensa_conservas_sopas_y_precocinados_conservas_de_pescado_y_marisco,2021-04-06 00:00:00,e522fea2a48f07845536d603b9916248
Bonito del norte en aceite de oliva De Nuestra Tierra 290 g.,7.55,35.95,kg,carrefour-es,https://www.carrefour.es/supermercado/bonito-del-norte-en-aceite-de-oliva-de-nuestra-tierra-290-g-de-nuestra-tierra/R-521006223/p,la_despensa_conservas_sopas_y_precocinados_conservas_de_pescado_y_marisco,2021-04-06 00:00:00,7d59699d119ff71bdedb63165fd2c173
Preparado de avena sabor frutos rojos sin azúcares añadidos Sun&Vegs sin lactosa pack 2 unidades de 125 g.,1.88,7.52,kg,carrefour-es,https://www.carrefour.es/supermercado/preparado-de-avena-sabor-frutos-rojos-sin-azucares-anadidos-sunvegs-sin-lactosa-pack-2-unidades-de-125-g/R-fprod1460581/p,la_despensa_yogures_y_postres_vegetal,2021-04-06 00:00:00,c8f958e99adf00e3bc49a95d8e9841f8
Preparado de coco sabor natural Sun&Vegs sin lactosa pack 2 unidades de 125 g.,1.88,7.52,kg,carrefour-es,https://www.carrefour.es/supermercado/preparado-de-coco-sabor-natural-sunvegs-sin-lactosa-pack-2-unidades-de-125-g/R-fprod1460585/p,la_despensa_yogures_y_postres_vegetal,2021-04-06 00:00:00,d31048ca84e163f767583249a0129de3
Zamburiñas en salsa de vieira Dani 63 g.,1.55,24.6,kg,carrefour-es,https://www.carrefour.es/supermercado/zamburinas-en-salsa-de-vieira-dani-63-g-dani/R-795409414/p,la_despensa_conservas_sopas_y_precocinados_conservas_de_pescado_y_marisco,2021-04-06 00:00:00,9b55abfc824c8cf17831af4083f7e827
Yogur semidesnatado líquido de fresa Carrefour 1 kg.,1.16,1.16,kg,carrefour-es,https://www.carrefour.es/supermercado/yogur-semidesnatado-liquido-de-fresa-carrefour-1-kg-carrefour/R-fprod1210091/p,la_despensa_yogures_y_postres_yogures_liquidos,2021-04-06 00:00:00,ac31afd5f5b9279d73b75f816e10c371
Yogur L.Casei líquido con frutos cítricos Danone Actimel sin gluten pack de 8 unidades de 100 g.,2.99,4.98,kg,carrefour-es,https://www.carrefour.es/supermercado/yogur-lcasei-liquido-con-frutos-citricos-danone-actimel-sin-gluten-pack-de-8-unidades-de-100-g/R-VC4AECOMM-576251/p,la_despensa_yogures_y_postres_yogures_liquidos,2021-04-06 00:00:00,f79a22520e09f0fd92912985755f418b
Yogur semidesnatado líquido de fresa y plátano Carrefour pack de 4 unidades de 200 ml.,1.67,2.09,kg,carrefour-es,https://www.carrefour.es/supermercado/yogur-semidesnatado-liquido-de-fresa-y-platano-carrefour-pack-de-4-unidades-de-200-ml-carrefour/R-800038948/p,la_despensa_yogures_y_postres_yogures_liquidos,2021-04-06 00:00:00,d5f8827b2f09317f4fb2b5123a00cf72
Yogur semidesnatado líquido azucarado Carrefour 1 kg.,1.16,1.16,kg,carrefour-es,https://www.carrefour.es/supermercado/yogur-semidesnatado-liquido-azucarado-carrefour-1-kg-carrefour/R-fprod1210036/p,la_despensa_yogures_y_postres_yogures_liquidos,2021-04-06 00:00:00,ae9c263c6f87b98c85a42fe6612cb67e
Yogur líquido fresa y plátano Carrefour sin Lactosa 1 l.,1.56,1.56,kg,carrefour-es,https://www.carrefour.es/supermercado/yogur-liquido-fresa-y-platano-carrefour-sin-lactosa-1-l-carrefour-no-lactosa/R-fprod1210032/p,la_despensa_yogures_y_postres_yogures_liquidos,2021-04-06 00:00:00,ece9754b258e1fb44290cab22adb7dcc
Yogur desnatado de frutos del bosque sin azúcar añadido Danone Vitalinea sin gluten pack de 4 unidades de 120 g.,1.2,2.5,kg,carrefour-es,https://www.carrefour.es/supermercado/yogur-desnatado-de-frutos-del-bosque-sin-azucar-anadido-danone-vitalinea-sin-gluten-pack-de-4-unidades-de-120-g-danone-vitalinea/R-601400876/p,la_despensa_yogures_y_postres_yogures_desnatados,2021-04-06 00:00:00,aa4f3938d7e6748d97128c82b1e28cb3
Yogur desnatado straciatella Nestlé Sveltesse pack de 4 unidades de 125 g.,1.96,3.92,kg,carrefour-es,https://www.carrefour.es/supermercado/yogur-desnatado-straciatella-nestle-sveltesse-pack-de-4-unidades-de-125-g-nestle-sveltesse/R-522714324/p,la_despensa_yogures_y_postres_yogures_desnatados,2021-04-06 00:00:00,76fc9b1cdc3069ce8b3c5df4ac414708
Yogur desnatado natural sin azúcar añadido Danone Vitalinea pack de 4 unidades de 120 g.,1.29,2.69,kg,carrefour-es,https://www.carrefour.es/supermercado/yogur-desnatado-natural-sin-azucar-anadido-danone-vitalinea-pack-de-4-unidades-de-120-g-danone-vitalinea/R-521029491/p,la_despensa_yogures_y_postres_yogures_desnatados,2021-04-06 00:00:00,38e0bb12bf4451c76e0a58220c8d84f9
Yogur desnatado natural edulcorado sin azúcar añadido Danone Vitalinea pack de 8 unidades de 120 g.,2.15,2.24,kg,carrefour-es,https://www.carrefour.es/supermercado/yogur-desnatado-natural-edulcorado-sin-azucar-anadido-danone-vitalinea-pack-de-8-unidades-de-120-g-danone-vitalinea/R-648002079/p,la_despensa_yogures_y_postres_yogures_desnatados,2021-04-06 00:00:00,7c59389bb25c98e54f290e4c74bd2004
Flan de huevo sin azúcar añadido Reina sin gluten pack de 4 unidades de 100 g.,1.47,3.67,kg,carrefour-es,https://www.carrefour.es/supermercado/flan-de-huevo-sin-azucar-anadido-reina-sin-gluten-pack-de-4-unidades-de-100-g-reina/R-787714449/p,la_despensa_yogures_y_postres_flanes,2021-04-06 00:00:00,6f9fa90106182ea4618f931d34f2fb68
Crema desnatada de chocolate fondant Nestlé Sveltesse pack de 4 unidades de 125 g.,1.96,3.92,kg,carrefour-es,https://www.carrefour.es/supermercado/crema-desnatada-de-chocolate-fondant-nestle-sveltesse-pack-de-4-unidades-de-125-g-nestle-sveltesse/R-526501358/p,la_despensa_yogures_y_postres_natillas_cremas_y_copas,2021-04-06 00:00:00,3d07965ff4cdc21b55ca95e1a703c9b9
Crema bombón 50% menos de azúcar añadido Clesa sin lactosa pack de 4 unidades de 125 g.,1.19,2.38,kg,carrefour-es,https://www.carrefour.es/supermercado/crema-bombon-50-menos-de-azucar-anadido-clesa-sin-lactosa-pack-de-4-unidades-de-125-g-clesa/R-816214572/p,la_despensa_yogures_y_postres_natillas_cremas_y_copas,2021-04-06 00:00:00,63df7a4738fe86ffb4276ccea279d51e
Postre delicias de toffe Nestlé La Lechera pack de 2 unidades de 125 g.,1.2,4.8,kg,carrefour-es,https://www.carrefour.es/supermercado/postre-delicias-de-toffe-nestle-la-lechera-pack-de-2-unidades-de-125-g-nestle-la-lechera/R-772505571/p,la_despensa_yogures_y_postres_natillas_cremas_y_copas,2021-04-06 00:00:00,0582b7fa9ef4ccbeea0b8d3752ba310f
Natillas de vainilla Dhul sin gluten sin lactosa pack de 2 unidades de 125 g.,1.34,5.36,kg,carrefour-es,https://www.carrefour.es/supermercado/natillas-de-vainilla-dhul-sin-gluten-sin-lactosa-pack-de-2-unidades-de-125-g-dhul/R-796126321/p,la_despensa_yogures_y_postres_natillas_cremas_y_copas,2021-04-06 00:00:00,87d8d351fe5ddc145f3f07820bfd4ae9
Ventresca de atún claro en aceite de oliva Carrefour 73 g.,1.99,27.26,kg,carrefour-es,https://www.carrefour.es/supermercado/ventresca-de-atun-claro-en-aceite-de-oliva-carrefour-73-g-carrefour/R-521006217/p,la_despensa_conservas_sopas_y_precocinados_conservas_de_pescado_y_marisco,2021-04-06 00:00:00,f0a3d2943a4c148e470ed5a654512334
Atún claro en aceite de oliva Consorcio 135 g.,3.7,27.41,kg,carrefour-es,https://www.carrefour.es/supermercado/atun-claro-en-aceite-de-oliva-consorcio-135-g-consorcio/R-832012750/p,la_despensa_conservas_sopas_y_precocinados_conservas_de_pescado_y_marisco,2021-04-06 00:00:00,78a9be472812a89acfc2d85c4a9745de
Berberechos al natural 60/90 Carrefour sin lactosa 63 g.,1.8,28.57,kg,carrefour-es,https://www.carrefour.es/supermercado/berberechos-al-natural-60-90-carrefour-sin-lactosa-63-g/R-VC4AECOMM-509317/p,la_despensa_conservas_sopas_y_precocinados_conservas_de_pescado_y_marisco,2021-04-06 00:00:00,94a1c8dd5a333b8fb31319d235f8d76c
Alga Sushi Nory Blue Dragon sin gluten y sin lactosa 11 g.,2.1,190.91,kg,carrefour-es,https://www.carrefour.es/supermercado/alga-sushi-nory-blue-dragon-sin-gluten-y-sin-lactosa-11-g-blue-dragon/R-803482467/p,la_despensa_conservas_sopas_y_precocinados_platos_preparados,2021-04-06 00:00:00,aa15caa1f7198adff5b338d09a6272f8
Lonchas vegetarianas con verduras y aceitunas Carrefour Veggie sin gluten y sin lactosa 100 g.,0.99,9.9,kg,carrefour-es,https://www.carrefour.es/supermercado/lonchas-vegetarianas-con-verduras-y-aceitunas-carrefour-veggie-sin-gluten-y-sin-lactosa-100-g/R-VC4AECOMM-426599/p,la_despensa_conservas_sopas_y_precocinados_platos_preparados,2021-04-06 00:00:00,c2c0d5fc8ee466ea4b76d33c9ecfb101
Yatekomo Yakisoba classic Gallina Blanca pack de 2 unidades de 93 g.,2.8,15.05,kg,carrefour-es,https://www.carrefour.es/supermercado/yatekomo-yakisoba-classic-gallina-blanca-pack-de-2-unidades-de-93-g-gallina-blanca/R-prod290665/p,la_despensa_conservas_sopas_y_precocinados_platos_preparados,2021-04-06 00:00:00,aa68bac24808d0e89356a6089dc08ed0
Lasaña de atún Carrefour pack de 2 unidades de 500 g.,3.45,3.45,kg,carrefour-es,https://www.carrefour.es/supermercado/lasana-de-atun-carrefour-pack-de-2-unidades-de-500-g-carrefour/R-527031676/p,la_despensa_conservas_sopas_y_precocinados_platos_preparados,2021-04-06 00:00:00,572efeb02baee5b34db2d3a930a2b277
Fideos orientales clásicos Yakisoba 93 g.,0.99,10.65,kg,carrefour-es,https://www.carrefour.es/supermercado/fideos-orientales-clasicos-yakisoba-93-g-yakisoba/R-849200382/p,la_despensa_conservas_sopas_y_precocinados_platos_preparados,2021-04-06 00:00:00,ea43254b869cc405f0f6dd6b88030170
Fideos orientales Yakisoba noodles Classic Maggi Fusian 120 g.,1.52,12.67,kg,carrefour-es,https://www.carrefour.es/supermercado/fideos-orientales-yakisoba-noodles-classic-maggi-fusian-120-g-maggi/R-546306672/p,la_despensa_conservas_sopas_y_precocinados_platos_preparados,2021-04-06 00:00:00,cd3c080f59adf690503474541913d64b
